timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry_by_vol,dominant_expiry_by_oi,atm_oi_depth,leap_oi_skews,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure,dominant_expiry
2026-05-27,SPRO,2.9,0.0,1000,2,1002,926,1.08,Bullish Trend,1,0.25267208208636177,0.2830956671041588,0.5144224530803294,0,0.0213132991452991,0.013857162393162379,0.0,None,20261016,1735,1735.0,-0.049,0,0.0,0,None,0.0,0,
2026-05-27,ATEN,29.15,0.0,2499,6,2505,2000,1.25,Bullish Trend,0,0.4535680982941142,1.03954791093724,1.1312318917355082,0,0.5444717948717946,0.4794564102564095,0.0,None,20261218,6489,63.89,-0.515,1,0.0,1,Management Alignment,0.527,0,
2026-05-27,STGW,6.86,0.0,4829,20,4849,632,7.67,Bullish Trend,0,0.24162921647689922,0.9861731575830963,1.0785133235521227,0,0.05568717948717936,0.054195111111111194,0.0,None,20261218,28294,143.36,-9.779,1,0.0,1,Management Alignment,0.521,0,
2026-05-27,MESO,0.0,0.0,4442,6,4448,4329,1.03,Bearish/Distribution,0,-0.1011470185641344,0.4899614922097219,0.6402757619099227,0,-0.20055760683760707,-0.17140417094017094,0.0,,,0,,18.312,0,0.0,0,None,0.0,0,None
2026-05-27,ABG,193.96,0.0,5033,3,5036,31,162.45,Bearish/Distribution,0,-0.1418200352899741,0.8674125893035565,0.8909769925781118,0,-2.580649572649577,-2.4786427350427407,0.0,None,20261016,4885,20.15,0.439,1,0.0,0,None,0.0,0,
2026-05-27,HPP,12.45,0.0,33403,53,33456,363,92.17,Bullish Trend,0,0.007266593135664763,1.8125885709610616,1.8140261827532962,0,-0.09422994871794863,-0.09742905982905986,0.0,None,20260918,2120,0.35,0.034,0,0.0,0,None,0.0,0,
2026-05-27,BRSL,11.0395,0.0,4504,2,4506,501,8.99,Bearish/Distribution,0,-0.2462856523153671,0.8001842790181153,0.9068927685362291,0,-0.17249230769230808,-0.17823247863247857,0.0,None,20270115,1401,0.2,0.0,1,0.0,0,None,0.0,0,
2026-05-27,MBC,9.31,0.0,7329,5,7334,1,7334.0,Bearish/Distribution,0,-0.15336698040285549,1.2633409473730661,1.3358768411881077,0,-0.1934427350427352,-0.2004000000000002,0.0,None,20261016,10,10.0,0.0,1,0.0,0,None,0.0,0,
2026-05-27,CNI,118.61,0.0,9618,9,9627,182,52.9,Bullish Trend,0,0.1756356669286679,0.9053528270867065,0.9446810475025899,0,0.735924786324785,0.6567726495726486,0.0,None,20261016,7381,42.42,0.0,0,0.0,0,None,0.0,0,
2026-05-27,FBP,24.24,0.0,1828,2,1830,36,50.83,Bullish Trend,0,0.11675642250310325,0.724918402353881,0.7667902228291696,0,0.12326666666666629,0.12886393162393164,0.0,None,20261218,64,20.33,0.0,1,0.0,0,None,0.0,0,
