timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry_by_vol,dominant_expiry_by_oi,atm_oi_depth,leap_oi_skews,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure,dominant_expiry
2026-05-27,SILA,30.26,0.0,7203,10,7213,53,136.09,Bullish Trend,0,0.20535678720234538,1.2804669647427853,1.4819655679337673,0,0.2870735042735037,0.31035213675213663,0.0,None,20270115,459,0.05,0.0,0,0.0,0,None,0.0,0,
2026-05-27,ARAY,0.376,0.0,2782,7,2789,48,58.1,Bearish/Distribution,0,-0.5913949226625479,2.227013634914056,2.3413413877103926,0,-0.03087945299145301,-0.0290654358974359,0.0,None,20260918,3179,3179.0,0.0,0,0.0,0,None,0.0,0,
2026-05-27,CAE,24.6,0.0,12389,33,12422,52,238.88,Bearish/Distribution,0,-0.12719991084490362,1.119407707988004,1.49403050855956,0,-0.2520205128205137,-0.2641401709401714,0.0,None,20260918,42,0.83,0.0,0,0.0,0,None,0.0,0,
2026-05-27,FETH,20.11,0.0,5551,19,5570,790,7.05,Bearish/Distribution,0,-0.3308552618662758,0.8379242010146266,0.886960388757646,0,-0.4875076923076929,-0.3772991452991456,0.0,None,20270115,1063,0.93,0.0,0,0.0,0,None,0.0,0,
2026-05-27,MREO,0.33,0.0,2684,10,2694,321,8.39,Bearish/Distribution,0,-0.7048437678888517,2.5957647275751428,2.8781226732275345,0,-0.06569962393162394,-0.05259039316239316,0.0,None,20260821,7583,8.04,0.0,0,0.0,0,None,0.0,0,
2026-05-27,HQY,86.56,0.0,2105,8,2113,47,44.96,Bearish/Distribution,0,-0.021383494212641116,0.8665622530218478,0.9128966221889054,0,-0.5210051282051285,-0.4962632478632488,0.0,None,20260918,292,10.23,0.0,1,0.0,0,None,0.0,0,
2026-05-27,ATEX,63.71,0.0,1243,5,1248,730,1.71,Bullish Trend,0,1.1421678563863231,2.0871495626997834,2.1794567813623296,0,1.6859145299145288,1.4409196581196575,0.0,None,20261120,2057,113.28,0.0,1,0.0,0,None,0.0,0,
2026-05-27,VEA,71.5377,0.0,5108,21,5129,1355,3.79,Bullish Trend,0,0.11934917549689619,1.0604807947104227,1.1757805058754494,0,0.32367521367521174,0.24437948717948624,0.0,None,20260918,7823,8.06,0.0,0,0.0,0,None,0.0,0,
2026-05-27,CNNE,14.59,0.0,4182,5,4187,101,41.46,Bearish/Distribution,0,-0.057048866713631095,1.5217572685642804,1.6234526503057862,0,-0.14999658119658132,-0.16588717948717951,0.0,None,20260821,15788,27.55,-0.001,1,0.0,0,None,0.0,0,
2026-05-27,UIS,3.8834,0.0,17599,55,17654,122,144.7,Bullish Trend,0,0.2940450581152966,0.9145104846085856,0.9766996067576174,0,-0.000307692307692391,-0.008020512820512802,0.0,None,20261218,14749,0.52,-0.065,1,0.0,0,None,0.0,0,
2026-05-27,TBCH,12.7,0.0,2191,10,2201,1026,2.15,Bearish/Distribution,0,-0.06157404328582087,0.6911938842076857,0.7400459616931435,0,-0.11254700854700882,-0.13874188034188012,0.0,None,20261016,1751,39.72,-0.067,1,0.0,0,None,0.0,0,
2026-05-27,MOV,34.29,0.0,9244,20,9264,4,2316.0,Bullish Trend,0,0.5539673979543285,1.232542064742443,1.3282725711249228,0,0.3635008547008538,0.28236581196581184,0.0,None,20260918,272,67.0,-0.083,1,0.0,0,None,0.0,0,
2026-05-27,L,106.98,0.0,1470,5,1475,751,1.96,Bullish Trend,0,0.025875105603380105,0.8463163058078448,0.8811319467637743,0,0.18198974358974676,0.1661504273504255,0.0,None,20261218,1898,18.77,-1.414,0,0.0,0,None,0.0,0,
2026-05-27,CVLT,107.24,0.0,1910,8,1918,778,2.47,Bearish/Distribution,0,-0.14816449067599957,2.45042715619368,2.5240775066147143,0,-1.3178871794871818,-1.3164923076923087,0.0,None,20261218,228,16.54,-11.586,1,0.0,0,None,0.0,0,
