timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry_by_vol,dominant_expiry_by_oi,atm_oi_depth,leap_oi_skews,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure
2026-07-01,EMPD,3.71,0.0004,6812,3,6815,11,619.55,Bearish/Distribution,1,-0.2660659353702806,0.3527307181316229,0.38681642672885264,0,-0.015422222222222313,-0.009237606837606925,0.0,None,20270115,12641,24.03,0.0,0,0.0,0,None,0.0,0
2026-07-01,OI,9.59,0.0002,10082,2,10084,231,43.65,Bearish/Distribution,0,-0.21230415408940634,1.7918798589430651,1.8273534226721766,0,-0.33655042735042723,-0.3168034188034191,0.0,None,20261218,30639,30.52,0.206,1,0.0,0,None,0.0,0
2026-07-01,AZTA,26.19,0.0039,2575,10,2585,80,32.31,Bearish/Distribution,0,-0.07920134164478046,1.5982409409969254,1.8943418553286109,0,-0.6418769230769239,-0.5785470085470086,0.0,None,20261016,889,110.12,0.086,0,0.0,0,None,0.0,0
2026-07-01,IVA,3.69,0.0,40232,1,40233,36,1117.58,Bearish/Distribution,0,-0.2895853989584436,1.0612287024513327,1.1717902753385308,0,-0.10996923076923082,-0.08580933333333338,0.0,None,20270219,294,72.5,0.0,0,0.0,0,None,0.0,0
2026-07-01,LEG,11.67,0.0002,5598,1,5599,1474,3.8,Bullish Trend,0,0.11075154191730761,1.2294598553811085,1.5425223582344665,0,-0.06924102564102559,-0.06076581196581225,0.0,None,20260918,5009,1.41,0.0,1,0.0,0,None,0.0,0
2026-07-01,SSTI,9.65,0.0003,3511,1,3512,121,29.02,Bullish Trend,0,0.2037447063299508,1.0699450674219368,1.160906505664124,0,3.418803418808677e-05,0.012136752136752079,0.0,None,20261016,61,60.0,0.0,1,0.0,0,None,0.0,0
2026-07-01,BSY,31.28,0.0012,10536,13,10549,98,107.64,Bearish/Distribution,0,-0.20153362722749907,1.3517432065206385,1.4914547743418285,0,-0.3205333333333343,-0.3032649572649583,0.0,None,20270115,1293,9.6,0.0,1,0.0,0,None,0.0,0
2026-07-01,DEFT,0.5379,0.0014,2097,3,2100,576,3.65,Bearish/Distribution,0,-0.5274274412315393,0.8677367895032435,1.0898504440907564,0,-0.013573880341880354,-0.01119459829059829,0.0,None,20280121,39667,25.01,0.0,0,0.0,0,None,0.0,0
2026-07-01,BMNU,0.7721,0.0017,26668,45,26713,6058,4.41,Error,False,0.0,0.0,0.0,0,0.0,0.0,0.0,None,20260918,97571,2.66,0.0,0,0.0,0,None,0.0,0
2026-07-01,COTY,2.27,0.0018,1093,2,1095,731,1.5,Bearish/Distribution,0,-0.21603686002131828,1.5922281726454985,1.6080367898183128,0,-0.0467054700854701,-0.043977948717948745,0.0,None,20261120,28811,2.46,0.0,0,0.0,0,None,0.0,0
2026-07-01,INO,1.19,0.0021,1944,4,1948,1423,1.37,Bearish/Distribution,0,-0.30933414588139707,0.767677306044492,0.7814539969223674,0,-0.02557107692307695,-0.024193162393162423,0.0,None,20261218,14960,18.13,0.0,1,0.0,0,None,0.0,0
2026-07-01,TII,2.29,0.0024,1231,3,1234,366,3.37,Bearish/Distribution,0,-0.18720185146862467,1.203838440092825,1.4359722556535834,0,-0.10606666666666675,-0.07201473504273513,0.0,None,20270115,2440,304.0,0.0,0,0.0,0,None,0.0,0
2026-07-01,CLBK,21.27,0.0028,1790,5,1795,523,3.43,Bullish Trend,0,0.23245404371822168,1.2003316213805193,1.2216182422947564,0,0.18737777777777748,0.18955213675213659,0.0,None,20270115,35,16.5,0.0,0,0.0,0,None,0.0,0
