timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry,atm_oi_depth,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure,dominant_expiry_by_vol,dominant_expiry_by_oi,leap_oi_skews
2026-05-28,RBBN,0.0,0.0,3712,1,3713,117,31.74,Bullish Trend,0,0.035912182899040704,1.1694280622218662,1.3300478946584045,0,-0.006352136752136764,-0.014812205128205167,0.0,None,0,0.0,1,0.0,1,Management Alignment,0.373,0,,,
2026-05-28,RLMD,0.0,0.0,1253,1,1254,576,2.18,Bullish Trend,0,0.7351056140837924,0.9943168062324699,1.427501039983213,0,0.17169948717948702,0.15892526495726492,0.0,None,0,0.0,0,0.0,1,Management Alignment,0.361,0,,,
2026-05-28,EYE,17.38,0.0,7070,2,7072,3416,2.07,Bearish/Distribution,0,-0.32170183370767214,0.5106500259016893,0.6276396653336894,0,-0.311070085470086,-0.3851179487179492,0.0,,65,-0.173,1,0.0,1,Management Alignment,0.415,0,None,20270115,1.1
2026-05-28,NYT,75.0,0.0,7829,10,7839,593,13.22,Bullish Trend,0,0.08620169027465696,1.2355534228359228,1.338227168979189,0,0.6259965811965801,0.5251760683760675,0.0,,4237,-3.438,1,0.0,1,Management Alignment,0.372,0,None,20261016,0.31
2026-05-28,SVC,1.8,0.0,1020,2,1022,646,1.58,Bearish/Distribution,0,-0.12586351330022932,1.284590480275716,1.3080839657900925,0,-0.018323658119658127,-0.018522393162393246,0.0,,6574,28.498,1,0.0,0,None,0.0,0,None,20260918,1.45
2026-05-28,AAT,0.0,0.0,3971,1,3972,9,441.33,Bullish Trend,0,0.19249904324531195,0.562560483522443,0.60854832570945,0,0.12385299145299085,0.10806837606837584,0.0,None,0,10.022,0,0.0,0,None,0.0,0,,,
2026-05-28,STEX,1.52,0.0,10480,12,10492,1049,10.0,Bearish/Distribution,0,-0.5466760773910998,0.5384344805378815,0.6248329830977603,0,-0.15459815384615386,-0.13473572649572654,0.0,,1084,0.249,1,0.0,0,None,0.0,0,None,20261016,5.65
2026-05-28,AZTA,0.0,0.0,5416,8,5424,970,5.59,Bearish/Distribution,0,-0.23026242609372738,1.4064360122800994,1.6719390720362983,0,-0.7913367521367523,-0.8365162393162393,0.0,None,0,0.147,0,0.0,0,None,0.0,0,,,
2026-05-28,LASE,0.0,0.0,3079,6,3085,422,7.31,Bearish/Distribution,0,-0.5908255168742214,1.2495315780485798,1.40888206624908,0,-0.09533852991452992,-0.07855685470085477,0.0,None,0,0.029,0,0.0,0,None,0.0,0,,,
2026-05-28,OPK,0.0,0.0,3792,4,3796,194,19.57,Bullish Trend,0,0.09744632681644622,0.5121017685214682,0.4885116306831888,0,-0.006980957264957278,-0.008353982905982946,0.0,None,0,0.003,0,0.0,0,None,0.0,0,,,
