timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry_by_vol,dominant_expiry_by_oi,atm_oi_depth,leap_oi_skews,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure
2026-06-02,CRNT,3.29,0.0,8591,3,8594,395,21.76,Bullish Trend,0,0.383041382168801,0.5768351752231585,0.7633771573829782,0,0.029330769230769146,0.02183627350427346,5315.0,20261218,None,0,0.0,-0.016,1,0.0,0,None,0.0,0
2026-06-02,PBA,48.78,0.0,3469,9,3478,1143,3.04,Bullish Trend,0,0.18250962092057824,1.2094172050482923,1.288001898382696,0,0.43997264957264853,0.39533333333333254,3399.0,20260821,None,0,0.0,0.0,0,0.0,0,None,0.0,0
2026-06-02,THRY,3.9,0.0,3257,10,3267,1098,2.98,Bearish/Distribution,0,-0.4002675729290009,3.349860105807782,3.4743713742344893,0,-0.10823931623931633,-0.10596923076923082,3209.0,20260821,None,0,0.0,0.025,1,0.0,0,None,0.0,0
2026-06-02,MESO,14.52,0.0,4560,7,4567,4272,1.07,Bearish/Distribution,0,-0.10944148426419294,0.4882868764594648,0.6481203706525401,0,-0.2085640000000004,-0.17759435897435938,1163.0,20280121,None,0,0.0,15.81,0,0.0,0,None,0.0,0
2026-06-02,ATEN,33.0,0.0,10817,9,10826,2585,4.19,Bullish Trend,0,0.6063268806303259,1.1250604453846376,1.2320496891402075,0,0.5970461538461536,0.5247042735042732,963.0,20261218,None,0,0.0,-0.47,1,0.0,1,Management Alignment,0.527,0
2026-06-02,MREO,0.3575,0.0,1955,1,1956,814,2.4,Bearish/Distribution,0,-0.6878301111495883,2.627366093499387,2.912500631869499,0,-0.0552065641025641,-0.04421644444444442,799.0,20260821,None,0,0.0,0.0,0,0.0,0,None,0.0,0
2026-06-02,TRGP,263.3,0.0,3870,13,3883,878,4.42,Bullish Trend,0,0.31100263818742047,1.3366547235933504,1.354604136215828,0,4.000317948717944,3.695213675213673,108.0,20260918,None,0,0.0,-5.189,0,0.0,0,None,0.0,0
2026-06-02,TTI,9.65,0.0,1325,5,1330,181,7.35,Bullish Trend,0,0.3011374498183904,1.2712555350351236,1.401111708983188,0,-0.017301196581196828,-0.0031817094017095346,105.5,20261218,None,0,0.0,0.0,1,0.0,1,Management Alignment,0.367,0
2026-06-02,KDK,6.9565,0.0,23639,28,23667,3229,7.33,Error,False,0.0,0.0,0.0,0,0.0,0.0,43.0,20261218,None,0,0.0,0.0,0,0.0,0,None,0.0,0
2026-06-02,POR,49.49,0.0,3061,2,3063,70,43.76,Bullish Trend,0,0.020245135075797022,1.1680925864417393,1.3889439735639473,0,0.07799316239316098,0.05960341880341816,30.0,20261218,None,0,0.0,-1.0,1,0.0,0,None,0.0,0
2026-06-02,UDR,36.84,0.0,1165,1,1166,105,11.1,Bullish Trend,0,0.010138400477101291,0.738421054628974,0.8661622583609466,0,-0.009090598290599616,-0.004752136752137378,29.0,20261016,None,0,0.0,0.0,0,0.0,1,Management Alignment,0.347,0
2026-06-02,BRCC,1.5215,0.0,1495,5,1500,417,3.6,Bullish Trend,0,0.3170564295360036,1.251614409820555,1.3181028204130787,0,0.020051658119658117,0.011042837606837613,21.0,20261016,None,0,0.0,0.022,1,0.0,0,None,0.0,0
2026-06-02,INGM,31.85,0.0,4489,7,4496,28,160.57,Bullish Trend,0,0.3891114559986652,0.7832417225140431,0.7633374845425277,0,0.3642564102564096,0.29536752136752137,15.5,20270115,None,0,0.0,-444.31,1,0.0,1,Management Alignment,0.362,0
