timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry_by_vol,dominant_expiry_by_oi,atm_oi_depth,leap_oi_skews,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure
2026-06-09,PRKS,44.51,0.0,9966,20,9986,34,293.71,Bullish Trend,0,0.11916280286038995,1.5471024391916879,1.7099652974237587,0,0.1369948717948715,0.022410256410256412,6893.0,20260918,20261218,277,6.91,0.0,1,0.0,0,None,0.0,0
2026-06-09,CLSZ,4.6165,0.0,6914,1,6915,11,628.64,Error,False,0.0,0.0,0.0,0,0.0,0.0,5584.0,20261218,20261218,12,1.0,0.0,0,0.0,0,None,0.0,0
2026-06-09,VYX,6.99,0.0,2316,1,2317,424,5.46,Bearish/Distribution,0,-0.2702711167253024,1.5318064970491054,1.784600947532578,0,-0.1844068376068377,-0.1781435897435898,2265.0,20261218,20261218,16369,544.63,0.0,1,0.0,0,None,0.0,0
2026-06-09,COUR,5.29,0.0,9407,13,9420,5797,1.62,Bearish/Distribution,0,-0.29791807729474945,1.0248341553827414,1.1362436911405978,0,-0.08046495726495738,-0.07852649572649578,1274.14,20260821,20260821,55645,2.21,-12.423,1,0.0,0,None,0.0,0
2026-06-09,MED,12.18,0.0,2488,1,2489,1539,1.62,Bullish Trend,0,0.03173998119488711,0.7347491661927107,0.9178340512001565,0,0.03208205128205102,0.02976410256410259,1058.0,20261120,20260918,9804,22.51,0.075,1,0.0,1,Management Alignment,0.335,0
2026-06-09,OPCH,20.89,0.0,1132,3,1135,141,8.05,Bearish/Distribution,0,-0.2676216611908868,1.5865526739969253,1.8604539819223944,0,-0.6253333333333342,-0.6382256410256418,1000.0,20261016,20261016,2386,8.66,1.873,1,0.0,1,Management Alignment,0.439,0
2026-06-09,EVC,9.18,0.0,3214,7,3221,1613,2.0,Bullish Trend,0,1.58013743869363,1.6024438910291725,1.8501990562568786,0,0.26494652991452994,0.19607203418803418,418.57,20261120,20261120,17356,16.12,-39.265,0,0.0,0,None,0.0,0
2026-06-09,CRNT,2.83,0.0,2743,10,2753,2519,1.09,Bullish Trend,0,0.2545266425245733,0.5717705784378453,0.7577193728321525,0,0.03189247863247857,0.02443682051282049,418.0,20260918,20261218,20841,52.17,-0.015,1,0.0,0,None,0.0,0
2026-06-09,UUP,28.1,0.0,25037,72,25109,898,27.96,Bullish Trend,0,0.01591147316231011,0.8122477436155505,0.8752226144938091,0,0.02911794871794903,0.028611965811965713,384.3,20260918,20270115,83905,1.63,0.0,0,0.0,0,None,0.0,0
2026-06-09,BWEN,4.1587,0.0,2192,3,2195,713,3.08,Bullish Trend,0,0.5443144990841201,1.075501115512921,1.2968181975057393,0,0.01694123076923072,-0.001405641025641047,339.0,20270115,20270115,2828,121.96,0.0,1,0.0,1,M&A / Strategic Review,0.364,0
