timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry_by_vol,dominant_expiry_by_oi,atm_oi_depth,leap_oi_skews,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure
2026-06-29,AEXA,11.91,0.0017,1726,3,1729,1088,1.59,Error,False,0.0,0.0,0.0,0,0.0,0.0,1713.0,20261218,20260918,14028,102.91,0.0,0,0.0,0,None,0.0,0
2026-06-29,PK,14.66,0.0015,7784,12,7796,423,18.43,Bullish Trend,0,0.28160460777871377,0.7174958516024277,0.8433154825622615,0,0.11879316239316214,0.11636923076923059,165.0,20261016,20261016,3148,23.79,0.0,0,0.0,0,None,0.0,0
2026-06-29,GENI,6.3,0.0015,1306,2,1308,1020,1.28,Bearish/Distribution,0,-0.21966829748607639,1.5155838511499646,1.8138543417936128,0,-0.14908376068376084,-0.13449572649572655,71.0,20270115,20261016,18272,4.1,0.0,0,0.0,0,None,0.0,0
2026-06-29,CERT,6.32,0.0006,1760,1,1761,43,40.95,Bearish/Distribution,0,-0.21957923540852445,1.3563655936469683,1.3866629686607173,0,-0.1570188034188035,-0.14505641025641036,42.0,20261120,20261120,217,42.4,0.0,1,0.0,0,None,0.0,0
2026-06-29,PKE,37.55,0.0004,2239,1,2240,116,19.31,Bullish Trend,0,0.46218942601660573,1.9968209248422275,2.407151558465206,0,0.5567999999999994,0.4766222222222219,17.0,20261120,20261120,502,7.51,0.0,0,0.0,0,None,0.0,0
2026-06-29,ARXS,47.3972,0.0022,3638,8,3646,97,37.59,Error,False,0.0,0.0,0.0,0,0.0,0.0,12.0,20270219,20261120,519,38.92,1.902,1,0.0,0,None,0.0,0
2026-06-29,ABG,201.46,0.0014,4268,6,4274,80,53.42,Bearish/Distribution,0,-0.08560255210660665,0.9470643554476972,1.0066222247347838,0,-2.2975794871794903,-1.9734324786324782,10.0,20261016,20261016,2736,11.67,0.017,0,0.0,0,None,0.0,0
2026-06-29,FOA,27.4,0.0005,4266,2,4268,18,237.11,Bullish Trend,0,0.2751095360974667,0.5813352561066012,0.6742847633873673,0,-0.04668376068376042,-0.0672000000000003,7.0,20261218,20261218,1870,30.69,2.445,1,0.0,0,None,0.0,0
2026-06-29,OPCH,21.32,0.0006,1752,1,1753,182,9.63,Bearish/Distribution,0,-0.2480553307128132,1.8154731542360967,2.1149513212732955,0,-0.7125743589743597,-0.6725025641025643,6.0,20270115,20261016,2291,11.59,1.193,1,0.0,1,Management Alignment,0.439,0
2026-06-29,ZBIO,25.99,0.003,1007,3,1010,89,11.35,Bullish Trend,0,0.03048916978065296,0.9279235136062324,0.8901383146596579,0,-0.08531965811965841,-0.019876923076923375,4.0,20270115,20270115,1683,42.15,2.165,0,0.0,0,None,0.0,0
2026-06-29,PRMB,24.76,0.0005,36575,17,36592,185,197.79,Bullish Trend,0,0.22899454248990522,1.2707911843044561,1.2908202799234847,0,0.26185641025641,0.26419145299145247,0.0,None,20261016,2246,2.13,0.0,0,0.0,0,None,0.0,0
2026-06-29,OFS,3.41,0.0006,1780,1,1781,14,127.21,Bearish/Distribution,0,-0.2931983293778693,2.6009488451833542,3.0217578190819254,0,-0.05899145299145307,-0.051948717948718075,0.0,None,20261016,66,10.0,0.0,0,0.0,0,None,0.0,0
2026-06-29,IFRX,2.2797,0.001,1994,2,1996,232,8.6,Bullish Trend,0,0.6909173634593495,1.0644878952285988,1.0252381632940297,0,0.07515329914529913,0.05387764102564102,0.0,20270115,20270115,826,58.0,0.0,0,0.0,0,None,0.0,0
2026-06-29,APYX,4.69,0.0016,1847,3,1850,83,22.29,Bullish Trend,0,0.2989350947890268,0.46826070064185854,0.4762755599945898,0,0.03087528205128208,0.01927097435897439,0.0,None,20270319,3363,3362.0,0.0,1,0.0,0,None,0.0,0
