timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry_by_vol,dominant_expiry_by_oi,atm_oi_depth,leap_oi_skews,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure
2026-06-24,NMRA,1.46,0.0,5201,8,5209,2163,2.41,Bearish/Distribution,0,-0.3336140370095246,0.6413184935093764,0.8294138632319845,0,-0.03570776068376078,-0.028253880341880387,4590.0,20260918,20260918,9084,41.85,0.0,0,0.0,0,None,0.0,0
2026-06-24,MESO,15.55,0.0,5056,7,5063,3786,1.34,Bearish/Distribution,0,-0.043563969732336325,0.4695397104413264,0.6218984304534222,0,-0.1937774017094021,-0.14291511111111135,2010.0,20280121,20280121,5532,2.7,6.635,0,0.0,0,None,0.0,0
2026-06-24,SJT,3.0,0.0,2006,1,2007,33,60.82,Bearish/Distribution,0,-0.42410688576200267,0.7871378701312428,0.8089823326796088,0,-0.10991794871794879,-0.10593856410256415,2005.0,20270115,20261016,1080,2.5,0.0,0,0.0,0,None,0.0,0
2026-06-24,AEXA,11.43,0.0,1589,6,1595,622,2.56,Error,False,0.0,0.0,0.0,0,0.0,0.0,975.0,20261218,20260918,10006,107.76,0.0,0,0.0,0,None,0.0,0
2026-06-24,GERN,1.41,0.0,1083,2,1085,709,1.53,Bearish/Distribution,0,-0.0013519603424966714,0.7235482994112044,0.752697852454564,0,-0.008257094017094074,-0.006374153846153858,243.0,20270115,20270115,28231,1.28,0.0,0,0.0,1,Management Alignment,0.387,0
2026-06-24,SHAZ,90.0,0.0,3863,13,3876,2243,1.73,Bullish Trend,0,0.4497975757596756,1.8897151385058837,84.72575969704226,0,3.893320273504273,2.9964252307692303,75.67,20261120,20261120,2950,47.36,0.0,0,0.0,0,None,0.0,0
2026-06-24,LEG,11.44,0.0,6121,8,6129,336,18.24,Bullish Trend,0,0.0934602664831487,1.2388491380397801,1.5610205821039551,0,-0.07069401709401717,-0.07102905982906024,21.57,20260918,20260918,4668,1.25,0.0,1,0.0,0,None,0.0,0
2026-06-24,DGRO,75.24,0.0,16202,13,16215,121,134.01,Bullish Trend,0,0.06024469895264903,0.8219815280892193,0.8679329428930764,0,0.16503247863247694,0.16940854700854607,9.0,20280121,20270115,3311,1.49,0.0,0,0.0,0,None,0.0,0
2026-06-24,CINF,178.45,0.0,2257,8,2265,1090,2.08,Bullish Trend,0,0.09918335819764736,0.5052239006821567,0.5127273635865938,0,0.21044102564102163,0.21714529914529937,1.5,20260918,20260918,1700,169.0,0.0,1,0.0,1,Restructuring,0.327,0
2026-06-24,BGC,12.68,0.0,5017,10,5027,117,42.97,Bullish Trend,0,0.29310565133169436,0.8011104109950655,0.8343661905607916,0,0.14113504273504254,0.12068717948717939,1.0,20261218,20261218,557,60.89,0.0,1,0.0,0,None,0.0,0
2026-06-24,HITI,2.2104,0.0,1681,6,1687,576,2.93,Bearish/Distribution,0,-0.18058619602899464,0.5874980152240313,0.6709666303264804,0,-0.009468752136752178,-0.0075401025641026135,1.0,20261016,20261016,1787,1787.0,0.0,0,0.0,0,None,0.0,0
2026-06-24,VIXM,14.88,0.0,11751,40,11791,281,41.96,Bearish/Distribution,0,-0.06164612637171943,0.780059176798988,0.9588999802636055,0,0.005032478632478398,0.012499145299145208,0.05,20270617,20261218,1907,9.36,0.0,0,0.0,0,None,0.0,0
2026-06-24,RLMD,6.51,0.0,2388,4,2392,510,4.69,Bullish Trend,0,0.38893333760040955,0.8071866979210894,1.1772595048345351,0,0.15541449572649568,0.1463842051282051,0.0,None,20261120,150,1.83,0.0,0,0.0,1,Management Alignment,0.361,0
