timestamp,symbol,last_price,put_call_ratio,call_volume,put_volume,opt_volume,av_option_volume,opt_vol_expansion_ratio,market_regime,is_coiling,dist_to_200dma,contraction_mean,contraction_median,triangle_flag,high_slope,low_slope,leap_volume_skews,dominant_expiry_by_vol,dominant_expiry_by_oi,atm_oi_depth,leap_oi_skews,insider_conviction_score,cfo_involved,debt_reduction_pct,catalyst_flag,catalyst_type,catalyst_confidence,has_activist_pressure
2026-06-25,BNED,13.35,0.0,1490,5,1495,80,18.69,Bullish Trend,1,0.4556529844679766,0.3875319347703803,0.515464889055345,0,0.11994188034188023,0.0979111111111109,272.0,20260918,20260918,2695,1.65,0.0,0,0.0,0,None,0.0,0
2026-06-25,NMRA,1.51,0.0,3039,2,3041,2174,1.4,Bearish/Distribution,0,-0.3105565885792101,0.6411239506422385,0.8291622619564403,0,-0.03570776068376078,-0.028253880341880387,3025.0,20260918,20260918,8923,41.09,0.0,0,0.0,0,None,0.0,0
2026-06-25,NWSA,25.03,0.0,1463,6,1469,1,1469.0,Bearish/Distribution,0,-0.03810495531588242,0.974426460835391,1.139582852899355,0,0.044988034188033314,0.029558974358973557,1461.0,20270115,20270115,8157,144.66,0.0,1,0.0,0,None,0.0,0
2026-06-25,SLI,2.9515,0.0,1236,5,1241,239,5.19,Bearish/Distribution,0,-0.2778982649842271,0.7583655129423665,0.7880690598047958,0,-0.069325435897436,-0.055814769230769265,1168.0,20261120,20261120,5512,15.31,0.0,0,0.0,0,None,0.0,0
2026-06-25,ACHV,5.7,0.0,13092,46,13138,1469,8.94,Bullish Trend,0,0.30222463374932196,1.0517707201494575,1.0782920591295284,0,0.025326427350427238,0.007403863247863212,825.14,20261218,20261218,16992,140.6,0.0,0,0.0,0,None,0.0,0
2026-06-25,INO,1.0808,0.0,3430,5,3435,909,3.78,Bearish/Distribution,0,-0.3837463088971626,0.7549623806635197,0.7683597662391306,0,-0.02596861538461541,-0.025059829059829078,774.0,20270115,20261218,15470,18.76,0.0,1,0.0,0,None,0.0,0
2026-06-25,GMAB,26.14,0.0,3292,12,3304,1012,3.26,Bearish/Distribution,0,-0.10606959593593382,0.9878640518056453,1.06479100240549,0,-0.3597538461538466,-0.28814017094017114,392.5,20261218,20261218,18995,11.87,0.0,0,0.0,0,None,0.0,0
2026-06-25,TTI,10.11,0.0,1261,1,1262,245,5.15,Bullish Trend,0,0.15675111705867667,1.1363787066354312,1.254408387013726,0,-0.03685288888888894,-0.019488341880342167,212.0,20261218,20260918,1520,3.48,0.268,1,0.0,1,Management Alignment,0.367,0
2026-06-25,TENX,12.64,0.0,6282,19,6301,2095,3.01,Bullish Trend,0,0.15259602358842753,0.7364507728850768,0.9896164190088573,0,-0.09222564102564138,-0.04669059829059843,202.67,20261016,20261016,7477,8.49,0.0,1,0.0,0,None,0.0,0
2026-06-25,KSTR,29.67,0.0,1204,7,1211,623,1.94,Bullish Trend,0,0.4296582382779935,1.0184074161850667,1.2159166624657585,0,0.28900854700854695,0.2370700854700853,142.67,20270115,20261218,3657,608.5,0.0,0,0.0,0,None,0.0,0
2026-06-25,DEFT,0.516,0.0,1045,3,1048,470,2.23,Bearish/Distribution,0,-0.5436168210056387,0.8871479680935593,1.1144722055258192,0,-0.012387316239316265,-0.010366564102564126,96.0,20280121,20280121,39562,24.94,0.0,0,0.0,0,None,0.0,0
2026-06-25,IVVD,0.885,0.0,3346,1,3347,1609,2.08,Bearish/Distribution,0,-0.48239126049331266,0.6652575906024788,0.7278044125745697,0,-0.05893651282051286,-0.053551418803418814,87.0,20260918,20261218,8386,15.16,0.0,0,0.0,0,None,0.0,0
2026-06-25,ATAI,4.56,0.0,9123,44,9167,1777,5.16,Bullish Trend,0,0.06971855658063779,0.5981071195098893,0.6668683743468848,0,0.02729230769230764,0.01970940170940167,37.84,20280121,20261120,40589,7.71,0.0,0,0.0,0,None,0.0,0
2026-06-25,GENI,5.48,0.0,2065,4,2069,1149,1.8,Bearish/Distribution,0,-0.33569016784813677,1.4971890042687106,1.7922988028733213,0,-0.18894358974358993,-0.18150769230769231,37.0,20280121,20261016,18259,4.13,0.0,0,0.0,0,None,0.0,0
2026-06-25,BTAL,11.13,0.0,1505,2,1507,15,100.47,Bearish/Distribution,0,-0.20219628981850504,1.2278057666365094,1.2681648089710642,0,-0.12722051282051314,-0.12969914529914553,21.0,20261218,20261218,397,4.29,0.0,0,0.0,0,None,0.0,0
2026-06-25,MANU,21.96,0.0,4324,5,4329,165,26.24,Bullish Trend,0,0.26146360798122753,0.6640696656411592,0.6912972802184763,0,0.2643760683760683,0.20077948717948663,2.0,20270115,20261218,2821,53.25,0.0,0,0.0,0,None,0.0,0
2026-06-25,LXRX,2.2301,0.0,2107,9,2116,1050,2.02,Bullish Trend,0,0.4814335619096907,0.653246664377029,0.6390221333200942,0,0.039396888888888856,0.03829029059829056,0.2,20270115,20270115,6907,22.82,0.0,0,0.0,0,None,0.0,0
2026-06-25,MTUS,20.23,0.0,5735,2,5737,16,358.56,Bullish Trend,0,0.12708856810166652,1.0153246192298562,1.0924923448338004,0,0.010030769230768883,0.0230598290598288,0.0,None,20270115,42,42.0,0.0,1,0.0,0,None,0.0,0
